timestamp,open_btc,high_btc,low_btc,close_btc,RSI_btc,MACD_btc,MA_20_btc,Trendline_btc,volume_btc,open_xau,high_xau,low_xau,close_xau,RSI_xau,MACD_xau,MA_20_xau,Trendline_xau,volume_xau
2024-02-26 00:00:00+00:00,51738.0,54969.0,50909.0,54524.0,76.63811,2147.13382,50399.95,50399.95,139936285.67009,2033.22,2037.1,2024.94,2030.83,52.98846,-0.81698,2025.1515,2025.1515,137193
2024-02-27 00:00:00+00:00,54534.0,57615.0,54500.0,57068.0,81.37992,2433.98621,51036.05,51036.05,239524121.58335,2030.85,2039.51,2028.63,2030.22,52.68582,-0.22992,2024.843,2024.843,130031
2024-02-28 00:00:00+00:00,57065.0,64000.0,56724.0,62512.0,87.31393,3065.26958,51896.65,51896.65,374509999.29595,2029.84,2037.94,2024.38,2034.86,54.80053,0.60279,2024.6485,2024.6485,130050
2024-02-29 00:00:00+00:00,62512.0,63684.0,60365.0,61161.0,80.46103,3417.16088,52596.65,52596.65,269001995.14903,2035.24,2050.78,2027.97,2043.75,58.61689,1.9575,2024.105,2024.105,145893
2024-03-01 00:00:00+00:00,61161.0,63265.0,60801.0,62444.0,81.91286,3756.26477,53330.35,53330.35,132138174.81447,2043.47,2088.38,2038.92,2083.31,70.53803,6.15236,2026.2985,2026.2985,163914
2024-03-04 00:00:00+00:00,63140.0,68577.0,62376.0,68359.0,86.05021,4658.95879,55609.0,55609.0,302367996.66312,2082.62,2119.94,2079.37,2114.94,76.39341,11.89201,2030.8085,2030.8085,143599
2024-03-05 00:00:00+00:00,68359.0,69210.0,59313.0,63796.0,69.35246,4648.98254,56206.6,56206.6,471545211.65197,2113.84,2141.81,2110.43,2127.57,78.25207,17.26088,2035.394,2035.394,174269
2024-03-06 00:00:00+00:00,63815.0,67645.0,62843.0,66120.0,72.30059,4773.57684,56915.5,56915.5,280039895.00678,2127.37,2152.27,2123.59,2148.24,80.90223,22.91945,2041.068,2041.068,158416
2024-03-07 00:00:00+00:00,66124.0,68061.0,65623.0,66941.0,73.27851,4882.2866,57654.5,57654.5,224581710.92191,2147.72,2164.76,2144.2,2159.39,82.16479,27.98107,2047.339,2047.339,164964
2024-03-08 00:00:00+00:00,66928.0,70184.0,66264.0,68285.0,74.84422,5019.03315,58485.55,58485.55,302028471.12904,2158.85,2195.22,2153.96,2178.5,84.1044,33.1523,2055.0745,2055.0745,175889
2024-03-11 00:00:00+00:00,69013.0,72910.0,67120.0,72118.0,79.12705,5337.88572,61156.2,61156.2,362634568.22415,2179.67,2189.03,2174.72,2182.56,84.49032,37.1499,2063.209,2063.209,146060
2024-03-12 00:00:00+00:00,72105.0,73054.0,68636.0,71473.0,76.71936,5395.98971,62137.7,62137.7,289591338.92849,2181.74,2184.76,2150.5,2158.57,73.18406,37.94483,2071.495,2071.495,94035
2024-03-13 00:00:00+00:00,71473.0,73679.0,71340.0,73121.0,78.51796,5511.4844,63231.1,63231.1,266715579.90329,2158.26,2179.85,2155.72,2174.5,75.52605,39.40599,2080.6185,2080.6185,62082
2024-03-14 00:00:00+00:00,73130.0,73794.0,68555.0,71371.0,72.14406,5399.56162,64262.5,64262.5,295788191.37381,2173.97,2176.97,2152.75,2161.7,70.21931,39.08062,2088.4965,2088.4965,61521
